products,Completely Match,Match score
CC(C)(C)OC(=O)N1CCC(CO)CC1,True,3
COc1cc2nccc(Oc3ccc(N)cc3)c2cc1OC,False,2
COc1cc(Br)ccc1C(=O)O,True,2
CCOC(=O)c1ccc(CCCBr)cc1,False,1
COc1ccc(-c2ccccc2)cc1,True,2
COc1cc2c(cc1OC)C(=O)C(CC1CCNCC1)C2,False,1
COC(=O)c1cccc(N)c1N,False,1
N[C@@H]1CCC[C@H](CO)C1,False,1
CC(C)Oc1cccc(CO)c1,True,2
COC(=O)c1ccc(O)cn1,False,1
COC(=O)c1cccc(CBr)c1,False,1
Oc1ccc2cc(-c3ccccc3)ccc2c1,True,2
CC(C)(C)OC(=O)NCCc1cccc(O)c1,False,1
CCOC(=O)c1ccc(N)nc1,False,1
NCCc1ccc(Cl)c(C(=O)NCC23CC4CC(CC(C4)C2)C3)c1,False,1
CC(C)(C)OC(=O)c1ccc(CBr)cc1,False,2
Fc1ccc(C(F)F)c(CN2CCN(c3ccc4nnc(C(F)F)n4n3)CC2)c1,True,2
O=Cc1cccc([N+](=O)[O-])c1Cl,False,1
COC(=O)c1ccc(-c2cccnc2)cc1,False,1
CON(C)C(=O)CCc1ccccc1,False,1
CC(C)(C)OC(=O)N1CCC(CO)(c2ccc(Cl)cc2)CC1,False,1
Cn1ccc2cc(C(=O)O)ccc21,True,2
